identifier,name,description,birthPlace,birthName,deathPlace,birthDate,deathDate
03hxf0YzQkEekrCd9RdIZI,Richard S. Sokolov,,,,,,
03j65TKF9Kobl5k7G1Yl4q,Sean E. O. Roosen,,,,,,
03rXOHP0fGGewNbKTmsXkb,Andreas Sohmen-Pao,,,,,,
04A2nTsGlqTaxxULiY4Ttn,Reynaldo Passanezi Filho,,,,,,
04Gy4tQoyR6fFvaDxbEfux,Yu-Chi Chiao,,,,,,
04MTZQdN37Dd69hjIo8kej,Roger M. Carr,"Sir Roger Martyn Carr (born 22 December 1946) is a British businessman, who is currently serving as Chairman of BAE Systems. He attended Nottingham High School and graduated with a BA in Business Studies from Trent Polytechnic, now Nottingham Trent University. He has been on the board of eight companies: *Chairman of BAE Systems *Chairman of Centrica plc *Non-executive Director of the Bank of England *Chairman of Mitchells & Butlers *Chairman of Cadbury plc  *Chairman of Chubb Locks *Chairman of Thames Water *CEO of Williams Holdings Career Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998. In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb. Also in 2000, he stepped down as chairman of Thames Water. In 2003, he became the chairman of Mitchells & Butlers, a British company that owns over 2,000 pubs and restaurants. He stepped down as chairman in 2008. In June 2008 Carr became the chairman of Cadbury plc, the United Kingdom's largest confectionery manufacturer. He resigned on 3 February 2010, when the company was bought by Kraft Foods. He became chairman of Centrica in 2004. He was President of the CBI (an unpaid role) from June 2011.  Andrew Clark "" Roger Carr, the new CBI head, promises to make foreign takeovers more difficult "" , The Observer, 12 December 2010 Carr was succeeded in the role by Sir Michael Rake in June 2013.  Ben Harrington "" Sir Mike Rake named head of the CBI "" , Daily Telegraph, 19 March 2013  "" CBI welcomes Sir Mike Rake as new President "" , CBI, 10 June 2013",,Roger Martyn Carr,,,
04YJR8XJTvkb1aYFWMvbO5,Devendra Kumar Jain,,,,,,
04g6OPTlQLHfghU8W9dXEH,Roberto de Andraca Adriasola,,,,,,
04gX6C602zHcQMahBj8yTd,Waleed Al Mokarrab Al Muhairi,,,,,,
04ixyQkzbeBe0Ez5rzAdWc,Shrikant Madhav Vaidya,,,,,,
04ock5tqVpBcpVO3ocsb9V,Robert P. Badavas,,,,,,
04pJAfhUcvebpJOpJavOGj,Gregory W. Ridder,,,,,,
04z19DwGFvaecErH2FyCmj,Lennart Johansson,"in June 2019 Nils Lennart Johansson (5 November 1929 – 4 June 2019) was a Swedish sports official who served as the fifth and, to date, the longest serving president of UEFA, the Union of European Football Associations. He served in the position from his election at the UEFA Congress in 1990 until 2007. In June 1998, he contested the FIFA presidential election against Sepp Blatter, losing by 111 votes to 80. Early life Johansson grew up in , a then newly built suburb west of Stockholm with his parents, his father Erik Hilmer Johansson (1884–1963) and mother Anna-Maria Johansson (née Pettersson 1886–1964).   As a child, he used to bike from his home to Råsunda Stadium to watch AIK matches along with his brothers. He also played football for his local team Åkeshov.  Career Johansson worked at Forbo Forshaga (now Forbo Flooring) from 1950 to 1990,   starting as an errand-boy and in the end becoming the company's CEO and chairman. From 1984, he was a president of the board of Tipstjänst and Operakällaren;  he was also chairman and president of AIK between 1967 and 1980.  AIK Ordförande – historia aik.se Retrieved 5 June 2019  Johansson was a lifelong supporter of AIK.  Between 1985 and 1990, Johansson was the president of the Swedish Football Association.  In 1990, he was voted UEFA President at the UEFA Congress in Malta.  Johansson helped found the UEFA Champions League, replacing the European Cup.  Johansson supported Sweden's bid to host UEFA Euro 1992, and England's bid to host UEFA Euro 1996.  During Johansson's presidency, the UEFA headquarters were also moved from Bern to Nyon.","Stockholm, Sweden",Nils Lennart Johansson,"(Stockholm, Sweden)",,
054IDoco1sjan53OC3N9Es,Gun Nilsson,,,,,,
058DmiaT9OmfvqaaAdV36T,Phanya Nirunkul,,,,,,
05BNjsVzmCodT8NrsoprFg,Ryan H. Weldon,,,,,,
05FFoeHQsXicOxv1KgvGDr,Zhengping Wu,,,,,,
05GLMr5R5IhbYsTBOzJ6ca,Kosei Shindo,,,,,,
05JKRUS45h9eHYRqp3aDYb,David Joseph,,,,,,
05gUZSIv7R2cKOjgXTFz4h,Fouad Fahim,,,,,,
05p7Fa6KcO0amJUgPSQx0W,Sang-chul Kim,,,,,,
05qTyroFugNbyYvQdPdX7T,Hideyuki Kudo,,,,,,
05xFi0D8dK7bMHew0kN2e0,David S. Lowden,,,,,,
062FqaeMNxibkP6vs9YNlO,Thomas M. White,,,,,,
0641kO4SOCXebieFdjjPQq,Chi-Foon Chan,,,,,,
064nIGHLKuAcOG43wsGtmB,Yuanying Qian,,,,,,
066P6SnXWHjdx6KF0wrIof,Daniel Nocente,,,,,,
06Of1305iqCeScPkTaLAUE,Teresita T. Sy-Coson,,,,,,
06Oy01wFlM1bjexb2KCBIT,Telisa LaTonja Yancy,,,,,,
06RfmvOpjRbdzqs6j7lCZN,Shengrong Hu,,,,,,
06RtY0ogFizcZfEpqlaHpJ,Patrick Steven Baird,,,,,,
06VXdHY52h3d8AB2k8CXUV,Brian Gerard Steck,,,,,,
06XMfuOaLYCfiJSD6aHKWf,Eric G. Johnson,,,,,,
06ZikWjYWEfeLVlsSx35JC,Johann Neunteufel,,,,,,
06Zvuj2Wh7HeVn649d0E6T,Michael Doar,,,,,,
06kylQ1O94PcZdUAsQl6GJ,Youjun Zhang,,,,,,
06rnBgvP7gXeMVfSosvJmD,Lloyd Blankfein,,,,,,
06t8ehTYYedblOcuTKAe99,Katsuya Oguro,,,,,,
070Cj8AmWNxcN5aAKHF9Qk,Zulkurnain Bin Awang,,,,,,
073QjldhMBpeyYIXNNRM5z,Ho-Jin Lee,,,,,,
074vW6QV5YPbbXlqvesGfM,Michael A. Bates,,,,,,
07EcqNs9mh6bxyqDi0KpJQ,Mitchell R. Butier,,,,,,
07FUabXqCWif3Bcbm5i6gW,Kishore Seendripu,,,,,,
07X3c9mVdTkecmU0TBNajh,Kent Kresa,,,,,,
07biRtmSjhTev2m6A043IC,Shanglun Che,,,,,,
07cQuPRsQuLejt4g3eQUxi,Daisaku Furuki,,,,,,
07ca0vZjtXlbKZlAUn7f61,Mark W. Begor,"Mark Begor (born c. 1959) is an American business executive. He is the CEO of Equifax.  Early life Begor was born circa 1959. He graduated from Syracuse University with a bachelor's degree and earned a master in business administration from the Rensselaer Polytechnic Institute.  Career Begor worked for General Electric for 35 years. He subsequently worked for Warburg Pincus. He has been serving as the chief executive officer of Equifax since April 16, 2018.  References External links *Equifax Bio",,,,c. 1959,
07dVZKjNrcweuWw1283o3w,John S. Marr,,,,,,
07dXhSA675zfZQOundNHuX,Toshihiro Uchiyama,,,,,,
07hfSnZwiZ3dfdGV8SZpOt,Ya-Ching Li,,,,,,
07o98mQ17OZbYTHRtzdKeg,Carlos M. Cardoso,,,,,,
07uCWGPXZsIaruCSyjqria,Toru Nakashima,,,,,,
07wMwv8ybd2dIM7dK2ac1X,Kyle Francis Gendreau,,,,,,
07yw77JjuN9fNTn0x3B0eb,Kulit Sombatsiri,,,,,,
086ofn7yWf3fRTE6QKHhfN,William A. McMinn,,,,,,
08BK9q0luqReBDlKWwanBd,Alfred Akirov,,,,,,
08EPSV0t3P3aofWLF45HfL,Peter Ryan,,,,,,
08GQVJOnEMRcbazpY1M8Nj,Unal Bozkurt,,,,,,
08Jm9ALLpipbNg2Yc7Naja,John G. Haggerty,,,,,,
08UlvM8CMUJdBVRnmgGVTc,Masaki Kondo,,,,,,
08dMaeuw0DzcndHFYww4Kf,Edward K. Christian,,,,,,
08fC4ByGy0RdDElj1gVYl0,Cengiz Solakoglu,,,,,,
08ibMQTm01vahhfOcq7Yd2,Jeffrey Elliot Holman,,,,,,
08sRISiHZeGb8N74nwuFIY,Charles R. Cory,,,,,,
090G45rizzedjCmkaxLfKJ,Marillyn A. Hewson,"Marillyn Adams Hewson (born December 27, 1953) is an American businesswoman, currently serving as strategic advisor to the CEO of aerospace and defense manufacturing company Lockheed Martin. She had previously served as chairman, president and CEO from January 2013 to June 2020.   She announced her intention to retire from the executive chairman and board member roles effective March 1, 2021. Biography ===Early life and education=== Hewson was born in Junction City, Kansas to Warren Adams and Mary Adams. Her father died when she was nine-years-old and her mother, a former WAC, raised five siblings, then aged five to 15. Hewson credits her mother's resilience, hard work, and determination with teaching her leadership skills and wrote, in "" A mother's resilience "" , for Politico, in 2013, that "" My mother did what all great leaders do: she sparked the growth of future leaders. ""  She earned her Bachelor of Science degree in business administration and her Master of Arts degree in economics from the University of Alabama. She also attended the Columbia Business School and Harvard Business School executive development programs.  Career Hewson joined the Lockheed Corporation in 1983 after 4 years as an economist at the Bureau of Labor Statistics. She has held a variety of executive positions with the company, including President and Chief Operating Officer, Executive Vice President of Lockheed Martin's Electronic Systems business area, President of Lockheed Martin Systems Integration, Executive Vice President of Global Sustainment for Lockheed Martin Aeronautics, President and General Manager of Kelly Aviation Center, L.P., and President of Lockheed Martin Logistics Services. On November 9, 2012, she was elected to Lockheed Martin's board of directors. She subsequently served as CEO from January 2013 until June 2020. She has also served on the board of directors for Sandia National Laboratories since 2010 and DuPont since 2007. During her tenure as CEO, Lockheed's stock value increased more than 300%.","Junction City, Kansas, U.S.",Marillyn Adams,,,
090NCPtpJPodmJUk9RS6I7,Hoonsik Kim,,,,,,
09E3QkA5aj4bBb1O9ZxC4o,Carsten Bjerg,,,,,,
09Qxpd8MY9NclrMiGss4mn,Paul J. McFeeters,,,,,,
09VyuXpyzqUcjmkzE5Cajj,Doreen Nowotne,,,,,,
09YyzfXIZyjapfKIUaPRy3,Jill Woodworth,,,,,,
09em6XEnDzgcOkldVCZiXZ,Raymond Joseph Tesi,,,,,,
09g5056RerKdKpxYE1UoEq,Heizo Takenaka,,,,,,
09gCormzhbYbXiXVUy7jry,William J. Janetschek,,,,,,
09ucvLKBoi2ad8BUKsXr4C,Quentin L. Cook,,,,,,
0A0xXOD5rcubm3MVT54rZh,Elias Masilela,,,,,,
0A2gh1I1wYibaF272IMese,Isao Tsukamoto,,,,,,
0A6GcGNSJ9udAFAABpD8Fm,Joe Bob Perkins,,,,,,
0AC3gINirncdpOKkVb9nVx,Poosapadi Ramasubrahmaneya Rajha Venketrama Raja,,,,,,
0ACZRXvSPKvcbR7r10XOH3,José Sevilla Álvarez,,,,,,
0AEISAGyCalb7MdbqDnonA,Aage Thoen,,,,,,
0AWy8AJ3gMmbLM2vXMqKOT,Velaphi Elias Mphande,,,,,,
0AXSfG7scRddxqW8fCj5X7,Yuth Vorachattarn,,,,,,
0AadQn0uIuQeomrg8qfHmU,Jeong-Eun Hyun,,,,,,
0AbC0eqLRkFbQJQXliBdAq,Mattias Perjos,,,,,,
0AimOVkfared69QtfkcHD0,Kunal Kamlani,,,,,,
0AoYqACLUrle7GA8QYHzsS,Gary Brian Mauris,,,,,,
0Ay7JjTHKoybf4YPW4j6nI,Anthony M. Croll,,,,,,
0BAuZndVnjvfCnTtxj7gZz,Geoffrey T. Barker,,,,,,
0BFmaB6kwHJcnvHK8R1JsK,Michael F. Hines,,,,,,
0BJBWXUejH1dgH0ywFclsg,Taisuke Miyajima,,,,,,
0BLcL0tl3cyddWhITHXy6Y,Thomas J. McInerney,"Thomas McInerney (born March 15, 1937)  U.S. Public Records Index Vol. 1 (Provo, UT: Ancestry.com Operations, Inc.), 2010. is a political commentator and a retired United States Air Force Lieutenant General, who served in top military positions under the President of the United States and Secretary of Defense. McInerney was a forward air controller and fighter pilot during the Vietnam War and had flown 407 combat missions during his four tours of duty. In addition to his Vietnam service, McInerney served overseas in NATO; Pacific Air Forces and as commander of 11th Air Force in Alaska. Since his retirement in 1994, McInerney has been on the boards of several military contractors. He was a frequent guest on Fox News until 2018 when he falsely claimed that John McCain, whom he called "" Songbird John "" , betrayed his country when he was a prisoner of war in Vietnam. He was a staunch advocate of the Iraq War, defended the use of torture, and defended the George W. Bush administration. In 2008, it was revealed that the Pentagon under the Bush administration supplied McInerney with talking points to use in his commentary. Education McInerney was born March 15, 1937, in Havre de Grace, Maryland, and graduated from Garden City (N.Y.) High School in 1955. He earned a BS degree from the United States Military Academy in 1959 and a master's degree in international relations from George Washington University in 1972. McInerney graduated from the Armed Forces Staff College in 1970 and from the National War College in 1973.  Military career After graduating from USMA in June 1959, McInerney was commissioned as a second lieutenant in the United States Army. He then joined the Air Force, and completed initial pilot training at Bartow Air Base, Florida, and Laredo Air Force Base, Texas, in November 1960. He participated in the Berlin and Cuban crises in 1962, flying escort missions in the West Berlin Air Corridor and escort reconnaissance missions over Cuba during the Cuban Missile Crisis. In April 1963, he was one of the first forward air controllers assigned to South Vietnam with a Vietnamese army division. He participated in three additional Southeast Asia deployments.","Havre de Grace, Maryland, U.S.",,,,
0BT5HespiMkbkvCnlD6Gxi,Stefan Schulte,,,,,,
0BWvCilDKGsfrj8qwhFsrY,Timothy P. Boyle,,,,,,
0BdawrzpvjGcR8FDEn5PXR,Moishe Gubin,,,,,,
0BeV7hp8G0yeyOJwV2jOki,Brock W. Bulbuck,,,,,,
0BfGwszuVNLeiWih0dGv2T,Felix Grisard,,,,,,
0BjeSNrnvqZbPlgp8YZbst,Joseph W. Gorder,,,,,,
0BlhuEy14jfd1HmcNBusAq,Shinji Takada,,,,,,
0BqlUkb7s04c0pcyS1LXzB,Kensuke Kondo,,,,,,
0BtrI5OiHG0cSl6odXb087,Matthew J. Gould,,,,,,
0Bvg1AlWqZKcXhI2zbfDjo,Michael F. Barry,,,,,,
0C33meXw85iduaRfDhwFLt,Evan Sharp,"Evan Sharp (born 1982) is an American billionaire Internet entrepreneur. He is the co-founder and chief design and creative officer of Pinterest, a visual discovery engine. He joined the company's board of directors in March 2019.  Early life Sharp was born in 1982. He was raised in York, Pennsylvania and attended York Suburban School District. Both his parents were park rangers. His father was an enthusiastic computer hobbyist. As a child, Sharp spent a lot of time tinkering with his father's Macintosh and taught himself how to code.  Sharp attended York Suburban High School where he graduated in 2001. During his high school years, he spent his free time creating icons and user interfaces.  He graduated from the University of Chicago, where he earned a bachelor's degree in history.  He subsequently studied architecture at Columbia Graduate School of Architecture, Planning and Preservation.  Career Sharp met Ben Silbermann in New York through a mutual friend in 2009 and they immediately connected over their love of the Internet.   Together with third cofounder Paul Sciarra, the three built the very first version of Pinterest from a small apartment in New York City on West 103rd Street. He soon thereafter moved to California, where he worked as a product designer at Facebook.","Philadelphia, Pennsylvania, US",,,,
0C6yWYhc3Btc9jjeO5wpbT,Robert James Livingston,,,,,,
0C7csRPJnqefXo8IeYJwI0,Mayorov Andrey Vladimirovich,,,,,,
0C8co3eyFvgdnX6qYW0hds,Xiaodong Wang,,,,,,
0C8sE3mL5itcCBmqkROddy,V. Prem Watsa,,,,,,
0CAbKXc1FTGba8eX4sAyIj,Qunbin Wang,,,,,,
0CKGrFmnujQeQiefmS9BVB,Jayendra Das,,,,,,
0CNVKnEo5dqeOUMn75aU03,Natalie C. Holles,,,,,,
0CReg0MlOoJc8GEi2xL7Xt,Masao Yamada,,,,,,
0CdCYDdEaeVeIj6pxBHI1D,Robert Dobson Millner,,,,,,
0CnDgyQ7HPqfX0Vw0e5KBc,David A. Bednar,,,,,,
0CqL39TfbCSd7PWLpnDf4n,Thomas Johannes Angfendy,,,,,,
0CstvVePURhcNrcOPIawNc,Frederick W. Davidson,,,,,,
0Ct9K0ASObFdhQP7fPrwRw,Susan O’Reilly,,,,,,
0Cwst5GszaueGyHvOczYPy,John P. Groetelaars,,,,,,
0Cxz3DZjYkUcnWdGmZ34kK,Humberto Garza Valdez,,,,,,
0CyzQ0NECZfcVgfHEdI9lG,Chia-Chau Wu,,,,,,
0D0O4VRMdled8QgnHmXSQG,Vivek Varma,,,,,,
0D0d7CUoAf6fywwMUCMvIX,David Delaney,,,,,,
0D8maeeUXTtbJCbagNBiOJ,Rusty Gregory,,,,,,
0DCw34enIzWbu28dhqmczQ,Robert H. Swan,"Robert (Bob) Holmes Swan (born 1959 or 1960) is an American business executive. He was CEO of Intel Corporation from January 2019 until February 15, 2021.  He joined Intel as CFO in October 2016 from General Atlantic, after spending years as CFO at eBay, Electronic Data Systems, and TRW Inc. Following the resignation of Brian Krzanich as Intel CEO, he was named interim CEO on June 21, 2018, and appointed to full-time CEO on January 31, 2019. As of February 15, 2021 Swan was replaced by VMWare CEO Pat Gelsinger.  Early life and education Bob Swan was born in Syracuse, New York. He graduated from Corcoran High School in 1978. He received a bachelor's degree in business administration from the University at Buffalo School of Management in 1983 and his MBA from Binghamton University in 1985.  Career General Electric and Electronic Data Systems Swan worked at General Electric starting in 1985 after receiving his MBA, holding various senior finance roles during his 15-year tenure. He was at Electronic Data Systems as CFO. From 1988 until 1994 he was involved with GE's corporate audit staff, and afterwards he became the CFO of GE Transportation Systems. From 1997 until 1998, he was the vice president of Finance for GE Medical Systems in Europe. From 1998 until 1999, he was vice president of finance and CFO of GE Lighting.  He joined Webvan in 1999 as a vice president of finance. From 2000 until 2001 he was the company's COO and CFO. In 2001 he became CEO after the resignation of George Shaheen four months before the company went under. After Webvan, he joined TRW as CFO, serving as vice president of TRW Automotive Holdings. He was with TRW from July 2001 until December 2002.  In 2001, he became CFO of Northrop Grumman Space & Mission Systems Corporation. He was also CFO of Electronic Data Systems Corporation. From 2003 until 2006, he was CFO of HP Enterprise Services.","Syracuse, New York, U.S.",Robert Holmes Swan,,< ref name=KE >  < /ref >,
0DIo9StCdeRbIZ6OFFlp9U,Jianwen Chen,,,,,,
0DJydoMcDSVe40574Qh4wU,Heng Fai Chan,,,,,,
0DMkueIvAt7fYa2tdxBJP7,Brian N. Sheth,,,,,,
0DTo1O0kdGffdpoJ2ie0i4,Anthony Kinnon,,,,,,
0DVc5zep7FEdNEfU6JqLrJ,Rogelio Zambrano Lozano,,,,,,
0DurYqFwKQZf6F2h5LX0cz,Yoshihisa Kainuma,,,,,,
0E1u2lxb01UerGT5Vf36Ty,W. Lance Conn,,,,,,
0E450hyPuKsbid5Q3YSShQ,Bakheet Shabib Al-Rashidi,,,,,,
0E5Dd29HtXGcHFTeDmtW37,William J. Clough,,,,,,
0EDqMAalTXcfLl09i6K1MX,Qixue Fang,,,,,,
0EFU1T4YajMcMs03Zi0ECa,Mysore R. Madhusudhan,,,,,,
0EJmepOeBvXfof9fzaqc7C,Larry J. Magee,,,,,,
0EMd57MjtTjbA1Omx7d8Fr,Yaniv Zion Sarig,,,,,,
0EPkkY1uzI6dYK8v9rNgxd,Christopher Michael Renwick Stone,,,,,,
0EUxiKeQ73revTz8zayNUf,Ravinder Takkar,,,,,,
0EbawpWOAg0bGuUoYf7sIu,Paul J. Salem,,,,,,
0EoEMXVxI3TenoQsVbXTIX,Daniel D. Burgess,,,,,,
0EsMDOBbWzuffNNjxTO5zB,Dominikus Golsong,,,,,,
0EtumrPiwBHeg1qxHGAcCI,Rob Watson,,,,,,
0F7wZzFqHamcPEKss47ukH,James Thomas Hazel,,,,,,
0FJjhWZUHCuePApzRLXvDn,Masamichi Kogai,,,,,,
0FKTheMUNzxasRqUDK3ABd,David Aubrey Rosenkrantz,,,,,,
0FPGXBDfjZkcHd0Hv3B0tt,Chengming Sun,,,,,,
0FQ1uMYoptaf7d6egr0aHe,Brian O'Connell,,,,,,
0FRlFfszQM2bjsNlcitrlz,Bertram Lee Scott,,,,,,
0FVo4NEvEMIdiUiRUD5T5s,Rong Chang Zhong,,,,,,
0FX7zDc5VTdbvIL5nrWoQ8,Joseph J. Echevarria,,,,,,
0FepXiNIlSefvOzsIjSbx2,Bulent Aksu,,,,,,
0Fih46LzMhLcPHD0J4BnGA,George Economou,,,,,,
0FiznBBcDtFbcfQMXllp85,W. Marvin Rush,,,,,,
0Fosk0S0vz0bDjHNbpVUBJ,Piotr Jucha,,,,,,
0FwWU77UbApaarbqSNpUvZ,Jorgen Kildahl,,,,,,
0FzYZW4xKLCf4Hz055veDf,Jonathan Christopher James Comerford,,,,,,
0FzrUzDNfTwcg0WjLb9G8o,Zhaohui Ma,,,,,,
0G3EH9t7Q8PaoaDPGdvXiJ,Masaru Watanabe,,,,,,
0G3HlAdxaP1eLCPNgTsEz6,Christoph Hammerl,,,,,,
0G69TzFpAZRcWbUBtFzkCG,Jose Enrique Juan Picasso Salinas,,,,,,
0G8g2oAW9CVbjQ5OyVmSvT,Akiko Levinson,,,,,,
0GChBzXWIr6cQFGpcs6hGc,David R. Epstein,,,,,,
0GH1kqxnzZ4eqoVUyqQdDx,Serena Williams,,,,,,
0GVXwhjelbicEq6XBhumSf,Gianandrea De Bernardis,,,,,,
0GbfshOGSgkeSFADUcBEL9,Hak-Cheol Shin,,,,,,
0Gf7jgT7u3gfbZs3CPp77C,Santiago Eguidazu Mayor,,,,,,
0GfQNZKabdKfPC0sUJLBZ9,Isidro A. Consunji,,,,,,
0GfQr6P1XwJbvPqbMcpnwR,Changqing Wang,,,,,,
0GfjRZhqkDocqlAh7k1RuE,Charles S. Crow,,,,,,
0Gki6Oe5vkybtESXbsji1m,Peter J. Barris,,,,,,
0Glh687WupCf4fVTq71taG,Peter Gelsinger,,,,,,
0GnPgmPgXS1dezAQ3em79J,John E. Rehfeld,,,,,,
0GqWl0w2Qayb4kyhiDkrvb,William Gerard Dempsey,,,,,,
0GxOCGAWSBTfGObRH9JMRz,William Joseph Hornbuckle,,,,,,
0H0QtiLTeYxbyBNzZZcQyX,James Williar Dunlaevy,,,,,,
0H0fujt8MwWcBGC5mMaXcC,Keung Chui,,,,,,
0H2TPhh3DIBdTFeaf4ya6h,Kunihiko Tanaka,,,,,,
0H8B9BUOlwqem7UyQ0PKfI,John J. Moloney,,,,,,
0H9DQNipOsEdTzkK2Edh98,Frank A. D'Amelio,,,,,,
