icao,iata,location,caption_name,country,location_name,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
oahn,KWH,Khwahan,Khwahan Airport,Afghanistan,"Khwahan Airport, Khwahan, Afghanistan",37.8921452,70.2037578,Person,Khwahan Airport,,notam_icao_to_location,e883f3e7d68844e5ff87d565e6bb32e3,notam_icao_to_location__0096be96fd66a81d581725949c8a29a4
oauz,UND,Kunduz,Kunduz Airport,Afghanistan,"Kunduz Airport, Kunduz, Afghanistan",36.6632762,68.9107399,Exec,Kunduz Airport,,notam_icao_to_location,91446631c168b6670bc3c1a25d525e51,notam_icao_to_location__270e65722c601d77a082e5d01738ca60
oamn,MMZ,Maymana,Maymana Airport,Afghanistan,"Maymana Airport, Maymana, Afghanistan",35.9265263,64.7658821,IndustryTerm,Maymana Airport,,notam_icao_to_location,9851d8ca5099aa674d16d6b10922031e,notam_icao_to_location__7c3f6593330062bb76da763b221b231e
oams,MZR,Mazar-i-Sharif,Mazar-i-Sharif Airport,Afghanistan,"Mazar-i-Sharif Airport, Mazar-i-Sharif, Afghanistan",36.6926167,67.1179511,Pipeline,Mazar-i-Sharif Airport,,notam_icao_to_location,3d6ae79c6474b9ada567f10dbda37c7d,notam_icao_to_location__ac0dcbf4cc7b9df25a1c0f5f73aa320b
oasn,SGA,Sheghnan,Sheghnan Airport,Afghanistan,"Sheghnan Airport, Sheghnan, Afghanistan",37.6907163,71.097317,Wells,Sheghnan Airport,,notam_icao_to_location,790ad06f8bc014aa0a86748641e7405c,notam_icao_to_location__eb10336aa304a61d2e42a15b0cdd8ff8
oazj,ZAJ,Zaranj,Zaranj Airport,Afghanistan,"Zaranj Airport, Zaranj, Afghanistan",30.9728397,61.8657817,Diplomat,Zaranj Airport,,notam_icao_to_location,2ce37d21ddcbdb48f5be2f19b826af96,notam_icao_to_location__822f3ca0aad60e5491471f3a57696829
lati,TIA,Tirana,Tirana Airport,Albania,"Tirana Airport, Tirana, Albania",41.4191153,19.7134771,Media,Tirana Airport,,notam_icao_to_location,019798c404791474aa39e6844465fc5c,notam_icao_to_location__dc9e195c72beac2d055f8cf148735546
daua,AZR,Adrar,Touat-Cheikh Sidi Mohamed Belkebir Airport,Algeria,"Touat-Cheikh Sidi Mohamed Belkebir Airport, Adrar, Algeria",27.8412452,-0.1880881,News,Touat-Cheikh Sidi Mohamed Belkebir Airport,,notam_icao_to_location,c71965674c1a5f4c4af35308a42e0eea,notam_icao_to_location__d01549f9c537ca49dcb1c5b840217ccf
daag,ALG,Algiers,Houari Boumediene Airport,Algeria,"Houari Boumediene Airport, Algiers, Algeria",36.6979218,3.2068672,Organization,Houari Boumediene Airport,,notam_icao_to_location,15477f1b9f04f542625fde1c87579bd2,notam_icao_to_location__97921b95256dd48125635cb10f41170d
dabb,AAE,Annaba,Rabah Bitat Airport,Algeria,"Rabah Bitat Airport, Annaba, Algeria",36.8241923,7.8213134,ForeignMinistry,Rabah Bitat Airport,,notam_icao_to_location,651329334911b21fb28054646569d19c,notam_icao_to_location__ce7c679a9680d474327390dee704f364
daae,BJA,Bejaia,Soummam-Abane Ramdane Airport,Algeria,"Soummam-Abane Ramdane Airport, Bejaia, Algeria",36.7153777,5.0712886,Exec,Soummam-Abane Ramdane Airport,,notam_icao_to_location,1894917c820046ba68afd938e34c4e48,notam_icao_to_location__b35ff3139581a86fed2f2129aaf850e5
datm,BMW,Bordj Mokhtar,Bordj Mokhtar Airport,Algeria,"Bordj Mokhtar Airport, Bordj Mokhtar, Algeria",21.3715706,0.923961,Exec,Bordj Mokhtar Airport,,notam_icao_to_location,9ea5842251becc26104fcaad5eb39ae1,notam_icao_to_location__8f6d023ef113ffc26b2749f3e7a4829f
daad,BUJ,Bou Saada,Bou Saada Airport,Algeria,"Bou Saada Airport, Bou Saada, Algeria",35.3244113,4.2001583,ForeignMinister,Bou Saada Airport,,notam_icao_to_location,5a46a94c7ec2e259c1fde0badb28e70d,notam_icao_to_location__c5fe8e68a8701c33852bb7ca4f1e6635
dabc,CZL,Constantine,Mohamed Boudiaf Airport,Algeria,"Mohamed Boudiaf Airport, Constantine, Algeria",36.2834707,6.622142,Diplomat,Mohamed Boudiaf Airport,,notam_icao_to_location,5dcbd32703f3780e9df00245263dfa24,notam_icao_to_location__de6517915932b06dff748b01543f3ddc
daaj,DJG,Djanet,Tiska Airport,Algeria,"Tiska Airport, Djanet, Algeria",24.2866977,9.460322,Wells,Tiska Airport,,notam_icao_to_location,de245199ca11e98948e6ef390bbce4ee,notam_icao_to_location__88911f26731d085759241eee9e6cde45
daue,ELG,El Golea,El Meniaa Airport,Algeria,"El Meniaa Airport, El Golea, Algeria",30.5715451,2.8688733,Refinery,El Meniaa Airport,,notam_icao_to_location,e4509e5cf4bd7f8437a2d063e631bb00,notam_icao_to_location__dab4bcb868fbe2b45554b634da43ccc3
dauo,ELU,El Oued,Guemar Airport,Algeria,"Guemar Airport, El Oued, Algeria",33.5112255,6.7846501,ForeignMinister,Guemar Airport,,notam_icao_to_location,5f2025c10da5ddedb55f608fad77946a,notam_icao_to_location__77c454de9a5ce340a697bc37f4e6bb49
daug,GHA,Ghardaia,Noumerat-Moufdi Zakaria Airport,Algeria,"Noumerat-Moufdi Zakaria Airport, Ghardaia, Algeria",32.3784904,3.8015247,Organization,Noumerat-Moufdi Zakaria Airport,,notam_icao_to_location,d42500b9992ce5cf8161da59ea07494d,notam_icao_to_location__f15885724f362f2fc1bb7e094ec0e77f
dauh,HME,Hassi Messaoud,Oued Irara - Krim Belkacem Airport,Algeria,"Oued Irara - Krim Belkacem Airport, Hassi Messaoud, Algeria",31.6659983,6.1476216,DiplomaticFacilities,Oued Irara - Krim Belkacem Airport,,notam_icao_to_location,ccd54d8a56e6efd0707a4fc763d3f8c6,notam_icao_to_location__eef5ba10102465659fe46f091ba1a58b
datg,INF,In Guezzam,In Guezzam Airport,Algeria,"In Guezzam Airport, In Guezzam, Algeria",19.5635334,5.751027,DiplomaticFacilities,In Guezzam Airport,,notam_icao_to_location,5716e06c045bd9090777b3e45c180fa2,notam_icao_to_location__c59aa9589fefba76917bc5b1bb5b5419
daui,INZ,In Salah,In Salah Airport,Algeria,"In Salah Airport, In Salah, Algeria",27.2519675,2.5087342,ForeignMinistry,In Salah Airport,,notam_icao_to_location,0d556443049f18e16e6a2ccd51b1eeab,notam_icao_to_location__2d78433a93db78b75a8a88dfd35d1a76
daav,GJL,Jijel,Jijel Ferhat Abbas Airport,Algeria,"Jijel Ferhat Abbas Airport, Jijel, Algeria",36.7933931,5.8777753,ForeignMinister,Jijel Ferhat Abbas Airport,,notam_icao_to_location,b2863a1af228ece2b74f1e20e9bfe7c2,notam_icao_to_location__7307e81efff20e29594abad8db28bd1f
daoo,ORN,Oran,Ahmed Ben Bella Airport,Algeria,"Ahmed Ben Bella Airport, Oran, Algeria",35.6202476,-0.606133,DiplomaticFacilities,Ahmed Ben Bella Airport,,notam_icao_to_location,2e3a2a30602f6253f25e7924c566a76a,notam_icao_to_location__32e4af12e6a077043b044767573939ac
dauu,OGX,Ouargla,Ain Beida Airport,Algeria,"Ain Beida Airport, Ouargla, Algeria",31.931849,5.4070408,DiplomaticFacilities,Ain Beida Airport,,notam_icao_to_location,1c72e6164dd9d305feb26d9ae68c739f,notam_icao_to_location__a80e3b78cd2427683638fc991d22db63
daat,TMR,Tamanrasset,Aguenar Airport,Algeria,"Aguenar Airport, Tamanrasset, Algeria",22.811111,5.450833,Legislator,Aguenar Airport,,notam_icao_to_location,c9bda2dc6a27929ae5959b83be00c2dc,notam_icao_to_location__c77b4ac46165bbd2a77a2209f464e0b9
dabs,TEE,Tebessa,Cheikh Larbi Tebessi Airport,Algeria,"Cheikh Larbi Tebessi Airport, Tebessa, Algeria",35.427459,8.118578,Organization,Cheikh Larbi Tebessi Airport,,notam_icao_to_location,a811e52f35722f2ace85a14fc154e393,notam_icao_to_location__ff4b43b87b9e1d5fb7223f0ab62d0a05
daob,TID,Tiaret,Abdelhafid Boussouf Bou Chekif Airport,Algeria,"Abdelhafid Boussouf Bou Chekif Airport, Tiaret, Algeria",35.3416243,1.4674905,DiplomaticFacilities,Abdelhafid Boussouf Bou Chekif Airport,,notam_icao_to_location,dfdde0cae58c49120d82c18bd6bfccd1,notam_icao_to_location__47c863bd24da438bfc67d5bbd02006c4
daut,TMX,Timimoun,Timimoun Airport,Algeria,"Timimoun Airport, Timimoun, Algeria",29.236944,0.275556,DiplomaticFacilities,Timimoun Airport,,notam_icao_to_location,f9e48524f35f3346064ee01b2c6b3cc2,notam_icao_to_location__9e53cfc1dc8b706c9ffb1c6a7a519d6f
daon,TLM,Tlemcen,Messali El Hadj Airport,Algeria,"Messali El Hadj Airport, Tlemcen, Algeria",35.0123044,-1.4479374,Media,Messali El Hadj Airport,,notam_icao_to_location,4e0cb4025d5242bad43fa60f5dc8cd9b,notam_icao_to_location__e499ddce89b181599e5b2058a551b258
dauk,TGR,Touggourt,Sidi Mahdi Airport,Algeria,"Sidi Mahdi Airport, Touggourt, Algeria",33.0671296,6.0922853,Organization,Sidi Mahdi Airport,,notam_icao_to_location,012f742e105681b2876dec484c6e3251,notam_icao_to_location__be91338109d91b221085ccdf953c1920
dauz,IAM,Zarzaitine,In Amenas Airport,Algeria,"In Amenas Airport, Zarzaitine, Algeria",28.0524624,9.6379884,Keyphrase,In Amenas Airport,,notam_icao_to_location,ce16d56397b918bcc67e459e1b1b54e4,notam_icao_to_location__35a79c0ce500ff43c50cd9fbbd9939f6
fnam,AZZ,Ambriz,Ambriz Airport,Angola,"Ambriz Airport, Ambriz, Angola",-7.8622222,13.1161111,AAEntity,Ambriz Airport,,notam_icao_to_location,8f5f7f1b56c4ea1dc94a47bec28787f7,notam_icao_to_location__faf43fe8229d63f2df02290703ca67de
fnbg,BUG,Benguela,Benguela Airpot,Angola,"Benguela Airpot, Benguela, Angola",-12.6058541,13.4040145,Keyphrase,Benguela Airpot,,notam_icao_to_location,803661b58759074218aa8460a4003916,notam_icao_to_location__7903a0b5580d1fcfafa8f079cdd7e224
fnca,CAB,Cabinda,Cabinda Airport,Angola,"Cabinda Airport, Cabinda, Angola",-5.596699,12.188059,ForeignMinister,Cabinda Airport,,notam_icao_to_location,7bfd2a72ad656ee3cda21cc7b19e8782,notam_icao_to_location__4056c98803cb52bb04534777dca5c79f
fnhu,NOV,Huambo,Albano Machado Airport,Angola,"Albano Machado Airport, Huambo, Angola",-12.8031493,15.7495181,Diplomat,Albano Machado Airport,,notam_icao_to_location,dbe1a598fee70ef0da419f462e80c0d5,notam_icao_to_location__11a0c3bb91a9fddb144b4c52e479b887
fnku,SVP,Kuito,Joaquim Kapango Airport,Angola,"Joaquim Kapango Airport, Kuito, Angola",-12.3940412,16.9417632,Legislator,Joaquim Kapango Airport,,notam_icao_to_location,0ea197e3eb22f95033270f83c1a3074c,notam_icao_to_location__cbe3b0e26289809e1ffa5ae3fc81a2d6
fnlu,LAD,Luanda,Luanda Airport,Angola,"Luanda Airport, Luanda, Angola",-8.8480556,13.2352778,IndustryTerm,Luanda Airport,,notam_icao_to_location,d2e8a4ed5b9ffd0d7a554ad61754fa93,notam_icao_to_location__e1cfeabec4badd6a2467470e3cecbd69
fnub,SDD,Lubango,Mukanka Airport,Angola,"Mukanka Airport, Lubango, Angola",-14.9218986,13.5726156,Shipping,Mukanka Airport,,notam_icao_to_location,b3f7514e156ad62fb4ca55bae08fae4e,notam_icao_to_location__793c9c13d7896faefc37c238d428ad51
fnue,LUO,Luena,Luena Airport,Angola,"Luena Airport, Luena, Angola",-11.76841,19.8979505,IndustryTerm,Luena Airport,,notam_icao_to_location,9ad7b04b5e7d72269acc73125ae0b237,notam_icao_to_location__3fac97a0c0dec97f4b8de91775576a1b
fnbc,SSY,M'banza Congo,M'banza Congo Airport,Angola,"M'banza Congo Airport, M'banza Congo, Angola",-6.268748,14.2464981,Diplomat,M'banza Congo Airport,,notam_icao_to_location,aef47b322a7c51d598bb745c9246942c,notam_icao_to_location__ab1eae4f8abf2361f1121dd360bfb6ce
fnma,MEG,Malanje,Malanje Airport,Angola,"Malanje Airport, Malanje, Angola",-9.525021,16.31285,space,Malanje Airport,,notam_icao_to_location,c3ae0e61feb80e3baa5e50aec1ad2c1e,notam_icao_to_location__59d39cf6c6409bb1c225faa5baa03ab7
fnme,SPP,Menongue,Menongue Airport,Angola,"Menongue Airport, Menongue, Angola",-14.659267,17.7166007,Organization,Menongue Airport,,notam_icao_to_location,06c128544efcc634e492e0277a9385ec,notam_icao_to_location__0d3b480d0b39d01fdbcab0edeefe309e
fngi,NGV,Ondjiva,Ongiva Airport,Angola,"Ongiva Airport, Ondjiva, Angola",-17.0480049,15.6894857,Wells,Ongiva Airport,,notam_icao_to_location,3d92a6bb7d3f0fbd01261a079d17fe7c,notam_icao_to_location__cb9391a16c2a36379f1db2ee9165e21a
fnze,ARZ,N'zeto,N'zeto Airport,Angola,"N'zeto Airport, N'zeto, Angola",-7.2269461,12.8687414,Organization,N'zeto Airport,,notam_icao_to_location,9b090e87ce7c7ece49cc1ebe8fb524bd,notam_icao_to_location__21ac04030f8cc167b1b5aebb33b823bf
fnng,GXG,Negage,Negage Airport,Angola,"Negage Airport, Negage, Angola",-7.7544444,15.2875,Pipeline,Negage Airport,,notam_icao_to_location,0e9555f97449ee5bc039ccc22def75b4,notam_icao_to_location__a7b9aec5e2c388b8e9caba9bd7bd51df
fnpa,PBN,Porto Amboim,Porto Amboim Airport,Angola,"Porto Amboim Airport, Porto Amboim, Angola",-10.7222486,13.7648291,Consulates,Porto Amboim Airport,,notam_icao_to_location,1b3c15eff59cc57d3b86999744fda3bc,notam_icao_to_location__639d166e329e039f02a652b3a4d6ffcc
fnsa,VHC,Saurimo,Saurimo Airport,Angola,"Saurimo Airport, Saurimo, Angola",-9.6897099,20.4314223,FTO,Saurimo Airport,,notam_icao_to_location,e9d5e54b1c86a2e820e8f8922327e8ee,notam_icao_to_location__1bd0587381f0125320eca37bb88b9b11
fnso,SZA,Soyo,Soyo Airport,Angola,"Soyo Airport, Soyo, Angola",-6.1407625,12.3709558,Wells,Soyo Airport,,notam_icao_to_location,e7937408eb102f2d241a919df3418fff,notam_icao_to_location__79c1a778eeb8920525f6866a5c22566b
fnug,UGO,Uige,Uige Airport,Angola,"Uige Airport, Uige, Angola",-7.602778,15.02775,AAEntity,Uige Airport,,notam_icao_to_location,3a5e0d62cc48f5185797ac950baea97e,notam_icao_to_location__12305605e334b91dafdac1bb94a6ec9a
fnwk,CEO,Cela,Wako Kungo Airport,Angola,"Wako Kungo Airport, Cela, Angola",-11.4263889,15.1013889,Shipping,Wako Kungo Airport,,notam_icao_to_location,8b0ef7c6d1c0d14689d179c157f6b308,notam_icao_to_location__3fa7aa5d0652bd0ba36995759f3a8d08
fnxa,XGN,Xangongo,Xangongo Airport,Angola,"Xangongo Airport, Xangongo, Angola",-16.7580486,14.9644404,Exec,Xangongo Airport,,notam_icao_to_location,3b712d1217e3795175b45e600795cf99,notam_icao_to_location__810301c886a6ec3d688c9ba0b87c31b9
tqpf,AXA,Anguilla,Clayton J. Lloyd Airport,Anguilla,"Clayton J. Lloyd Airport, Anguilla, Anguilla",18.2065638,-63.0526054,LegislativeCommittee,Clayton J. Lloyd Airport,,notam_icao_to_location,826687d5dc7d45161aef06e6e18f2192,notam_icao_to_location__56da165f747b1a984dfba6de769fd12e
taph,BBQ,Codrington,Codrington Airport,Antigua and Barbuda,"Codrington Airport, Codrington, Antigua and Barbuda",17.6368479,-61.8266898,Media,Codrington Airport,,notam_icao_to_location,d2fc5a4e59c2a64b0adb0a12bc8873da,notam_icao_to_location__55d2cbf3a0277b0dee87321750764968
tapa,ANU,Saint John's,V.C. Bird Airport,Antigua and Barbuda,"V.C. Bird Airport, Saint John's, Antigua and Barbuda",17.1416455,-61.7905486,Legislator,V.C. Bird Airport,,notam_icao_to_location,1e1475ca86d7fbe40c4e5c47e9d6480b,notam_icao_to_location__8d3a4dd0fdbe86b6d4e772b348982569
savr,ARR,Alto Rio Senguer,Alto Rio Senguer Airport,Argentina,"Alto Rio Senguer Airport, Alto Rio Senguer, Argentina",-45.0158891,-70.8182254,LegislativeCommittee,Alto Rio Senguer Airport,,notam_icao_to_location,c685acdf64c6369b24c24077d3aaee6e,notam_icao_to_location__09ba0efdfbc34279617c0610eb67d31f
sazb,BHI,Bahia Blanca,Comandante Espora Airport,Argentina,"Comandante Espora Airport, Bahia Blanca, Argentina",-38.7163574,-62.163808,Organization,Comandante Espora Airport,,notam_icao_to_location,26a664eb5e308f7e2e1161a44410b10d,notam_icao_to_location__f5da08882accb5779892650ac70bf931
sazs,BRC,Bariloche,San Carlos de Bariloche Airport,Argentina,"San Carlos de Bariloche Airport, Bariloche, Argentina",-41.1459655,-71.1615774,Exec,San Carlos de Bariloche Airport,,notam_icao_to_location,557758b25eb5f4f8a06c8cb28a11d823,notam_icao_to_location__e2392ff7d6512bd6f7de854cc4101982
sabe,AEP,Buenos Aires,Jorge Newbery Airfield,Argentina,"Jorge Newbery Airfield, Buenos Aires, Argentina",-34.5580305,-58.4170088,Refinery,Jorge Newbery Airfield,,notam_icao_to_location,4f5fa892edaa3dfa3add92c97d675663,notam_icao_to_location__2c825e775db6b34b5c69cb7ed082a87b
sanc,CTC,Catamarca,Coronel Felipe Varela Airport,Argentina,"Coronel Felipe Varela Airport, Catamarca, Argentina",-28.5924952,-65.754992,Keyphrase,Coronel Felipe Varela Airport,,notam_icao_to_location,3a904479051ce884fa82730ede654715,notam_icao_to_location__4325209f5ff9e500f756f0f6c119b927
savc,CRD,Comodoro Rivadavia,General Enrique Mosconi Airport,Argentina,"General Enrique Mosconi Airport, Comodoro Rivadavia, Argentina",-45.7900714,-67.4684167,Pipeline,General Enrique Mosconi Airport,,notam_icao_to_location,757b8158c45d6e43814b7dba8a65aed5,notam_icao_to_location__f47fc5ee9e07a16c86dfdb379d78f831
saco,COR,Cordoba,Ingeniero Ambrosio L.V. Taravella Airport,Argentina,"Ingeniero Ambrosio L.V. Taravella Airport, Cordoba, Argentina",-31.3154774,-64.2137656,Pipeline,Ingeniero Ambrosio L.V. Taravella Airport,,notam_icao_to_location,a5dca8abd0128d71ec27387becf787c6,notam_icao_to_location__40d7a3e42dac426891bb340ddc9b5823
save,EQS,Esquel,Esquel Airport,Argentina,"Esquel Airport, Esquel, Argentina",-42.9058852,-71.1454508,Shipping,Esquel Airport,,notam_icao_to_location,447431fe3819768502ca062d217228c7,notam_icao_to_location__c0eb32af80e8a354ae75a955229684e2
saez,EZE,Ezeiza,Ezeiza Airport,Argentina,"Ezeiza Airport, Ezeiza, Argentina",-34.8150044,-58.5348284,Refinery,Ezeiza Airport,,notam_icao_to_location,8fe2d5a48e06b7954e91e70cd76dd71b,notam_icao_to_location__02d61760ae2ee0be3fd6f0a348b166b9
sarf,FMA,Formosa,Formosa Airport,Argentina,"Formosa Airport, Formosa, Argentina",-26.2142203,-58.2307569,Consulates,Formosa Airport,,notam_icao_to_location,4e63ddf267461e619c33f9375133417e,notam_icao_to_location__8ab60c6865b68b3f67d13996a270a441
sazg,GPO,General Pico,General Pico Airport,Argentina,"General Pico Airport, General Pico, Argentina",-35.687514,-63.7583,Organization,General Pico Airport,,notam_icao_to_location,fb6a4180eba2e90a09bd6bfea3319c07,notam_icao_to_location__ade98b0bd8999e775f51f8a332981917
sanl,IRJ,La Rioja,La Rioja Airport,Argentina,"La Rioja Airport, La Rioja, Argentina",-29.3838814,-66.794148,Organization,La Rioja Airport,,notam_icao_to_location,dccfed16b1fb46bc454dabb88e1093e1,notam_icao_to_location__e98b762f681f312ae6737acced837e96
samm,LGS,Malargue,Comodoro D. Ricardo Salomon Airport,Argentina,"Comodoro D. Ricardo Salomon Airport, Malargue, Argentina",-35.4834881,-69.5846032,IndustryTerm,Comodoro D. Ricardo Salomon Airport,,notam_icao_to_location,fa3f79486a30762904da98fc8a46727b,notam_icao_to_location__f30b3e548d008cefe80413f100208ef8
sazm,MDQ,Mar del Plata,Mar Del Plata Airport,Argentina,"Mar Del Plata Airport, Mar del Plata, Argentina",-37.9332052,-57.5815181,IndustryTerm,Mar Del Plata Airport,,notam_icao_to_location,13a40773d1ac3f640be1d298d6df6ce7,notam_icao_to_location__13c3a22a589cbaac3ea61c4bc83b047f
same,MDZ,Mendoza,El Plumerillo Airport,Argentina,"El Plumerillo Airport, Mendoza, Argentina",-32.8277046,-68.7986058,Person,El Plumerillo Airport,,notam_icao_to_location,0c4cf2da19c499400f24b3285b264331,notam_icao_to_location__07f0ea3b8f3c465c80d5c03c39ccce75
saap,PRA,Parana,General Justo Jose de Urquiza Airport,Argentina,"General Justo Jose de Urquiza Airport, Parana, Argentina",-31.7895418,-60.484021,News,General Justo Jose de Urquiza Airport,,notam_icao_to_location,04ee79145c27c42d194e0642072a8d55,notam_icao_to_location__2a760101fab9c8e92cf7e379448a38d8
sarp,PSS,Posadas,Libertador General Jose de San Martin Airport,Argentina,"Libertador General Jose de San Martin Airport, Posadas, Argentina",-27.3917448,-55.9694661,Diplomat,Libertador General Jose de San Martin Airport,,notam_icao_to_location,c6d119ccffaa58bfcb5f6696e483b888,notam_icao_to_location__b3517d5f4b175051a83fbc2ad8b7ed0e
sari,IGR,Puerto Iguazu,Cataratas del Iguazu Airport,Argentina,"Cataratas del Iguazu Airport, Puerto Iguazu, Argentina",-25.7317776,-54.476181,Refinery,Cataratas del Iguazu Airport,,notam_icao_to_location,ac89c9786e57c33672bb7e8146ae144b,notam_icao_to_location__e2d23bcf965387ba8755cdf4b291bf3e
savy,PMY,Puerto Madryn,El Tehuelche Airport,Argentina,"El Tehuelche Airport, Puerto Madryn, Argentina",-42.7595765,-65.1015412,Refinery,El Tehuelche Airport,,notam_icao_to_location,5d2042121067a5e405cbd9f39326fbd2,notam_icao_to_location__746cf2c405af3ddd473d246d6a3705d4
satr,RCQ,Reconquista,Reconquista Airport,Argentina,"Reconquista Airport, Reconquista, Argentina",-29.2015844,-59.6927976,Organization,Reconquista Airport,,notam_icao_to_location,af43e5a9ea69380f78970ade710fe645,notam_icao_to_location__aeb5730b33199344ef6e1d9c6d453cd2
sare,RES,Resistencia,Resistencia Airport,Argentina,"Resistencia Airport, Resistencia, Argentina",-27.4448012,-59.0489729,FTO,Resistencia Airport,,notam_icao_to_location,32b61ecd046f09b8bf63806823703838,notam_icao_to_location__14db6aeeb10515ec52aff87f6b71e276
saoc,RCU,Rio Cuarto,Las Higueras Airport,Argentina,"Las Higueras Airport, Rio Cuarto, Argentina",-33.0961074,-64.2778673,Refinery,Las Higueras Airport,,notam_icao_to_location,7aac77d245f386045d0d808f5aefa186,notam_icao_to_location__ed74585e42913dff39c1631d6857f67c
sawg,RGL,Rio Gallegos,Piloto Civil N. Fernandez Airport,Argentina,"Piloto Civil N. Fernandez Airport, Rio Gallegos, Argentina",-51.6119298,-69.3060975,space,Piloto Civil N. Fernandez Airport,,notam_icao_to_location,d131d0855e7bf5f08fbad39f09c18d15,notam_icao_to_location__94e9436a7fb99739673e2d116d8e014a
sawe,RGA,Rio Grande,Hermes Quijada Airport,Argentina,"Hermes Quijada Airport, Rio Grande, Argentina",-53.7814806,-67.7534435,FTO,Hermes Quijada Airport,,notam_icao_to_location,428aed72f41219af26db37346680d6b4,notam_icao_to_location__eacf8c6bea7b58bcad2883bbecd953e3
saar,ROS,Rosario,Rosario Airport,Argentina,"Rosario Airport, Rosario, Argentina",-32.9169538,-60.7803944,Exec,Rosario Airport,,notam_icao_to_location,14133e15116d6f1f95393fbcdbb31428,notam_icao_to_location__dfa00c5784154444bbfcc1b203e51672
sasa,SLA,Salta,Martin Miguel de Guemes Airport,Argentina,"Martin Miguel de Guemes Airport, Salta, Argentina",-24.8442303,-65.4784117,ForeignMinister,Martin Miguel de Guemes Airport,,notam_icao_to_location,8a4baf79bb51127e42458cd4b868faf4,notam_icao_to_location__0c2c31828071373bcbf89dbbf284a89a
